Quote,Start Location,End Location,Is Quote
"""I can't help it; I never saw any one faint, and I don't choose to make
myself all black and blue, tumbling flat as you do. If I can go down
easily, I'll drop; if I can't, I shall fall into a chair and be
graceful; I don't care if Hugo does come at me with a pistol,""",23218,23485,True
"""Do it this way; clasp your hands so, and stagger across the room,
crying frantically, 'Roderigo! save me! save me!'""",23703,23820,True
"""Ow!""",24018,24023,True
"""It's no use! Do the best you can when the time comes, and if the
audience laugh, don't blame me. Come on, Meg.""",24221,24333,True
"""Ha! ha!""",24651,24660,True
"""It's the best we've had yet,""",24662,24692,True
"""I don't see how you can write and act such splendid things, Jo. You're
a regular Shakespeare!""",24754,24849,True
"""Not quite,""",24953,24965,True
"""I do think 'The Witch's Curse, an
Operatic Tragedy,' is rather a nice thing; but I'd like to try Macbeth,
if we only had a trap-door for Banquo. I always wanted to do the killing
part. 'Is that a dagger that I see before me?'""",24987,25214,True
"""No, it's the toasting fork, with mother's shoe on it instead of the
bread. Beth's stage-struck!""",25311,25408,True
"""Glad to find you so merry, my girls,""",25477,25515,True
"""can-I-help-you""",25621,25637,True
"""Well, dearies, how have you got on to-day? There was so much to do,
getting the boxes ready to go to-morrow, that I didn't come home to
dinner. Has any one called, Beth? How is your cold, Meg? Jo, you look
tired to death. Come and kiss me, baby.""",25849,26096,True
"""I've got a treat for you after supper.""",26730,26770,True
"""A letter! a letter! Three cheers for father!""",26929,26975,True
"""Yes, a nice long letter. He is well, and thinks he shall get through
the cold season better than we feared. He sends all sorts of loving
wishes for Christmas, and an especial message to you girls,""",26977,27175,True
"""Hurry and get done! Don't stop to quirk your little finger, and simper
over your plate, Amy,""",27249,27343,True
"""I think it was so splendid in father to go as a chaplain when he was
too old to be drafted, and not strong enough for a soldier,""",27594,27724,True
"""Don't I wish I could go as a drummer, a _vivan_--what's its name? or a
nurse, so I could be near him and help him,""",27743,27859,True
"""It must be very disagreeable to sleep in a tent, and eat all sorts of
bad-tasting things, and drink out of a tin mug,""",27889,28008,True
"""When will he come home, Marmee?""",28022,28055,True
"""Not for many months, dear, unless he is sick. He will stay and do his
work faithfully as long as he can, and we won't ask for him back a
minute sooner than he can be spared. Now come and hear the letter.""",28104,28309,True
"""Give them all my dear love and a kiss. Tell them I think of them by
day, pray for them by night, and find my best comfort in their affection
at all times. A year seems very long to wait before I see them, but
remind them that while we wait we may all work, so that these hard days
need not be wasted. I know they will remember all I said to them, that
they will be loving children to you, will do their duty faithfully,
fight their bosom enemies bravely, and conquer themselves so
beautifully, that when I come back to them I may be fonder and prouder
than ever of my little women.""",29050,29633,True
"""I _am_ a selfish girl! but I'll truly try to be better,
so he mayn't be disappointed in me by and by.""",29864,29967,True
"""We all will!""",29969,29983,True
"""I think too much of my looks, and hate to
work, but won't any more, if I can help it.""",29995,30082,True
"""I'll try and be what he loves to call me, 'a little woman,' and not be
rough and wild; but do my duty here instead of wanting to be somewhere
else,""",30084,30233,True
"""Do you remember how you used to play Pilgrim's Progress
when you were little things? Nothing delighted you more than to have me
tie my piece-bags on your backs for burdens, give you hats and sticks
and rolls of paper, and let you travel through the house from the
cellar, which was the City of Destruction, up, up, to the house-top,
where you had all the lovely things you could collect to make a
Celestial City.""",30796,31210,True
"""What fun it was, especially going by the lions, fighting Apollyon, and
passing through the Valley where the hobgoblins were!""",31212,31338,True
