Quote,Start Location,End Location,Is Quote
"""I liked the place where the bundles fell off and tumbled down stairs,""",31349,31420,True
"""My favorite part was when we came out on the flat roof where our
flowers and arbors and pretty things were, and all stood and sung for
joy up there in the sunshine,""",31432,31598,True
"""I don't remember much about it, except that I was afraid of the cellar
and the dark entry, and always liked the cake and milk we had up at the
top. If I wasn't too old for such things, I'd rather like to play it
over again,""",31669,31894,True
"""We never are too old for this, my dear, because it is a play we are
playing all the time in one way or another. Our burdens are here, our
road is before us, and the longing for goodness and happiness is the
guide that leads us through many troubles and mistakes to the peace
which is a true Celestial City. Now, my little pilgrims, suppose you
begin again, not in play, but in earnest, and see how far on you can get
before father comes home.""",31983,32427,True
"""Really, mother? Where are our bundles?""",32429,32469,True
"""Each of you told what your burden was just now, except Beth; I rather
think she hasn't got any,""",32517,32614,True
"""Yes, I have; mine is dishes and dusters, and envying girls with nice
pianos, and being afraid of people.""",32633,32739,True
"""Let us do it,""",32872,32887,True
"""It is only another name for
trying to be good, and the story may help us; for though we do want to
be good, it's hard work, and we forget, and don't do our best.""",32911,33074,True
"""We were in the Slough of Despond to-night, and mother came and pulled
us out as Help did in the book. We ought to have our roll of directions,
like Christian. What shall we do about that?""",33076,33265,True
"""Look under your pillows, Christmas morning, and you will find your
guide-book,""",33371,33451,True
"""Crinkle, crinkle, 'ittle 'tar,""",34649,34681,True
"""Merry Christmas,""",35730,35748,True
"""Girls,""",36371,36379,True
"""mother wants us to
read and love and mind these books, and we must begin at once. We used
to be faithful about it; but since father went away, and all this war
trouble unsettled us, we have neglected many things. You can do as you
please; but _I_ shall keep my book on the table here, and read a little
every morning as soon as I wake, for I know it will do me good, and help
me through the day.""",36497,36894,True
"""How good Meg is! Come, Amy, let's do as they do. I'll help you with the
hard words, and they'll explain things if we don't understand,""",37074,37210,True
"""I'm glad mine is blue,""",37294,37318,True
"""Where is mother?""",37505,37523,True
"""Goodness only knows. Some poor creeter come a-beggin', and your ma went
straight off to see what was needed. There never _was_ such a woman for
givin' away vittles and drink, clothes and firin',""",37609,37805,True
"""She will be back soon, I think; so fry your cakes, and have everything
ready,""",37937,38016,True
"""Why, where is Amy's bottle of cologne?""",38152,38192,True
