Quote,Start Location,End Location,Is Quote
"""Who were you then?""",26724,26744,True
"""You're particular, for a shade.""",26778,26811,True
"""to a shade,""",26832,26845,True
"""In life I was your partner, Jacob Marley.""",26890,26933,True
"""Can you--can you sit down?""",26935,26963,True
"""I can.""",27007,27015,True
"""Do it, then.""",27017,27031,True
"""You don't believe in me,""",27376,27402,True
"""I don't,""",27424,27434,True
"""What evidence would you have of my reality beyond that of
your senses?""",27450,27522,True
"""I don't know,""",27524,27539,True
"""Why do you doubt your senses?""",27555,27586,True
"""Because,""",27588,27598,True
"""a little thing affects them.
A slight disorder of the stomach makes them cheats. You may
be an undigested bit of beef, a blot of mustard, a crumb of
cheese, a fragment of an underdone potato. There's more of
gravy than of grave about you, whatever you are!""",27613,27871,True
"""You see this toothpick?""",28597,28622,True
"""I do,""",7581,7588,True
"""You are not looking at it,""",28824,28852,True
"""But I see it,""",28868,28883,True
"""notwithstanding.""",28900,28918,True
"""Well!""",28920,28927,True
"""I have but to swallow
this, and be for the rest of my days persecuted by a
legion of goblins, all of my own creation. Humbug,
I tell you! humbug!""",28946,29093,True
"""Mercy!""",29527,29535,True
"""Dreadful apparition, why do
you trouble me?""",29545,29590,True
"""Man of the worldly mind!""",29592,29618,True
"""do
you believe in me or not?""",29638,29668,True
"""I do,""",7581,7588,True
"""I must. But why do spirits
walk the earth, and why do they come to me?""",29692,29764,True
"""It is required of every man,""",29766,29796,True
"""that the spirit within him should walk abroad among
his fellowmen, and travel far and wide; and if that
spirit goes not forth in life, it is condemned to do so
after death. It is doomed to wander through the
world--oh, woe is me!--and witness what it cannot
share, but might have shared on earth, and turned to
happiness!""",29817,30140,True
"""You are fettered,""",30224,30243,True
"""Tell
me why?""",30269,30283,True
"""I wear the chain I forged in life,""",30285,30321,True
"""I made it link by link, and yard by yard; I girded
it on of my own free will, and of my own free will I
wore it. Is its pattern strange to you?""",30341,30486,True
"""Or would you know,""",30521,30541,True
"""the
weight and length of the strong coil you bear yourself?
It was full as heavy and as long as this, seven
Christmas Eves ago. You have laboured on it, since.
It is a ponderous chain!""",30561,30747,True
"""Jacob,""",30911,30919,True
"""Old Jacob Marley,
tell me more. Speak comfort to me, Jacob!""",30942,31003,True
"""I have none to give,""",31005,31027,True
"""It comes
from other regions, Ebenezer Scrooge, and is conveyed
by other ministers, to other kinds of men. Nor
can I tell you what I would. A very little more is
all permitted to me. I cannot rest, I cannot stay, I
cannot linger anywhere. My spirit never walked
beyond our counting-house--mark me!--in life my
spirit never roved beyond the narrow limits of our
money-changing hole; and weary journeys lie before
me!""",31047,31463,True
"""You must have been very slow about it, Jacob,""",31680,31727,True
"""Slow!""",31810,31817,True
"""Seven years dead,""",31839,31858,True
"""And travelling
all the time!""",31874,31904,True
"""The whole time,""",31906,31923,True
"""No rest, no
peace. Incessant torture of remorse.""",31940,31990,True
"""You travel fast?""",31992,32010,True
"""On the wings of the wind,""",32026,32053,True
"""You might have got over a great quantity of
ground in seven years,""",32074,32142,True
"""Oh! captive, bound, and double-ironed,""",32348,32388,True
"""not to know, that ages of incessant labour
by immortal creatures, for this earth must pass into
eternity before the good of which it is susceptible is
all developed. Not to know that any Christian spirit
working kindly in its little sphere, whatever it may
be, will find its mortal life too short for its vast
means of usefulness. Not to know that no space of
regret can make amends for one life's opportunity
misused! Yet such was I! Oh! such was I!""",32408,32860,True
"""But you were always a good man of business,
Jacob,""",32862,32914,True
"""Business!""",32974,32985,True
"""Mankind was my business. The common
welfare was my business; charity, mercy, forbearance,
and benevolence, were, all, my business. The dealings
of my trade were but a drop of water in the
comprehensive ocean of my business!""",33029,33254,True
"""At this time of the rolling year,""",33394,33429,True
"""I suffer most. Why did I walk through crowds of
fellow-beings with my eyes turned down, and never
raise them to that blessed Star which led the Wise
Men to a poor abode! Were there no poor homes to
which its light would have conducted me!""",33448,33688,True
"""Hear me!""",33797,33807,True
"""My time is nearly
gone.""",33825,33850,True
"""I will,""",33852,33861,True
"""But don't be hard upon
me! Don't be flowery, Jacob! Pray!""",33876,33935,True
"""How it is that I appear before you in a shape that
you can see, I may not tell. I have sat invisible
beside you many and many a day.""",33937,34071,True
"""That is no light part of my penance,""",34164,34202,True
